CC	А	I союз противит разг а, тогда как, в то время как —	Хуш, ваъданг канча3— Кирк центнер дан — А кизлар-чи3 —	Юз» (Ойбек «О в шаба халар») Ну, каково тво« обяз I тельство3— По сорок центнеров — А у девушек3— Сто*
IJ	А	II межд 1, вырсжает вопрос удивление и т п Р, да3, что3, ними дединг? а3 что ты сказал3 а3 ростданми’ а3 неужели правда3 мен хам бораман, а3 я тоже пойду, да3 2 (произносится протяжно) выражает удивление, до гадку а, да, вот как, вот оно что, а, тушундим а, пончл а, биламан, биламан а, зияю знаю
QST	-а	(-я — после гласных иногда пишется отдельно) частица 1 выражает удивление недоумение, опасение со жаление, восхищение, утверждение қаранг-а, қандай ба~ ^ор! смотрите, какая весна» у жуда қув экан-а! какой он оказывается, хитрец» билмайман эмиш-а’ подумайте, он не знает1, аттанг-а! как жаль», какая досада» шамоллаб цолмаса майли-я’ как бы он ие простудился!, 2 выражает иронию иронический вопрос, билмайман дегин-а? ты го воришь, что не знаешь да3
N1,ADV	АБАД	вечность; // навеки то ~ поэт навеки навсегда на вечные времена на веки вечные
A1	АБАДИЙ	вечный, // вечно навеки навечно, навсегда -шуҳрат вечная слава ~ равишда, ~ суратда навеки, на всегда, ~ колдирмок оставлять навеки увековечивать
N1-VN	АБАДИЙЛАШ	увековечение
V-TV-CAUS	АБАДИЙЛАШТИРМОҚ	обеггмг^тиль
N1	АБАДИЙЛИК	вечность бессмертие
A2	АБАДИЯ	саодати абадня уст кн вечное счастье, бла гополучне блаженство Бу байрок машъал бучиб, саодати абадня иупини еритдн (А Қаҳҳор «Сароб») Эю знамя как маяк осветило путь к вечному счастью
ADV	АБАДИЯН	нареч уст книжн навеки, навечно, навсег да, Султонмурод у кизни — цулдан кеткизганига ишонди (Ойбек, «Навонн») Сутганмурад убедился что потер »л зту девушку навсегда
N1	АБАДИЯТ	уст книжн вечности бессмертие
ADV	АБАДУЛАЬАД	нареч уст книжн навеки, навечно, на всегда, ~га навсегда, на веки вечные
N1	АБАЖУР	абажхр
A1	АБАС	уст кн бесполезный, напрасный, тщетный, // без полезно напрасно тщетно
A1	АБГОР	разоренный разорившийся плачевный, жалкий ~ бўлмок разоряться лишаться всего приходить в пла чевное состояние ~ килмок разорять, пустить по миру приводить в плачевное состояние
N1	АБГОРЛИК	полож ине состояние разорившегося или разоренного человека разорение плачевное состояние
A1	АБДОЛ	уьТ книжн 1 благочестивый набожный 2 пе рен шутл человек не от мира сего
A2	АБЕРРАЦИОН	аберрационным ~ ҳодиса збероанион ное явление
N1	АБЕРРАЦИЯ	физ аберрация Ч абепрзнихнньй сфе-рик — сферическая аберрация хроматин - хроматическая аберрация ~ ходмсаси явление аберрации аберрационное явление
N1	АБЖАД	хслогнос члзчацпе восьми искаествеппых слов (плрвъ м из которых является абжад), сосгопцих из бл л в пооядке лоевиегс арабского алфавита и придл манных числового значения каждог буквы (от единицы до тысч чи)
A2	АБЖАҚ-	— булмоц повредиться поло 1аться разб! тьеч искалечиться, абждғд чиқди разбился вдребезги (поломал ся, разбился покалечился), этикнинг абжағи чицди сапоги истрепались ~ қилшоқ или абжагини чиқармоқ повоедпть. полом пъ, разбить, искалечить
